LobbyingEntity,DateRange,Lobbyist,Client,House/Senate,BillNumber,BillActivity,AgentPosition,Amount,DirectBusinessAssosciation
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2,"An Act making appropriations for the fiscal year 2023 for the maintenance of the departments, boards, commissions, institutions, and certain activities of the commonwealth, for interest, sinking fund, and serial bond requirements, and for certain permanent improvements",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,125,An Act relative to the promotion of secure telehealth systems,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,136,An Act relative to data privacy,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,142,An Act establishing the Massachusetts information privacy act,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,729,An Act to ensure prescription drug cost transparency and affordability,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,756,An Act to strengthen emergency preparedness for home care workers,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,890,An Act protecting research animals,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,901,An Act protecting research animals,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,966,An Act concerning the use of animals in product testing,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1053,An Act relative to consumer deductibles,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1091,An Act providing for certain health insurance coverage,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1101,An Act relative to telehealth and digital equity for patients,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1123,An Act relative to pharmaceutical gag clauses,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1190,"An Act relating to patient cost, benefit, and coverage information, choice, and price transparency",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1201,An Act ensuring access to medications,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1210,An Act relative to drug prices paid by carriers,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1212,An Act relative to direct primary care,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1224,An Act relative to promoting healthcare access and affordability for patients,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1237,An Act relative to non-medical switching,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1239,An Act to strengthen the PIP process,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1243,An Act creating a MassHealth buy in program,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1254,An Act relative to promoting comprehensive transparency in the pharmaceutical industry,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1265,An Act to create a special commission to improve transparency and affordability at the Group Insurance Commission,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1267,An Act establishing Medicare for all in Massachusetts,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1272,An Act to promote transparency in prescription drug prices,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1275,An Act to improve health care cost accountability,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1278,An Act relative to prescription drug price transparency,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1279,An Act establishing a commission to review contracts between pharmaceutical benefit managers and MassHealth,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1307,An Act establishing a study to examine the feasibility of state manufactured generic prescription drugs,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1310,An Act to ensure equitable access to health coverage for children with disabilities,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1311,An Act relative to step therapy and patient safety,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1935,"An Act to require policies and training to prevent unlawful harassment, including sexual harassment",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1942,An Act requiring OSHA training,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1950,An Act relative to wage transparency,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1966,An Act relative to workplace safety and disclosure of violations,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1967,"An Act relative to non-disclosure agreements relating to a claim of discrimination, non-payment of wages or benefits, retaliation, harassment or violation of public policy in employment",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1989,An Act relative to pay equity,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2014,An Act requiring human service employers to develop and implement programs that prevent workplace violence,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2018,An Act relative to employment protections for victims of abusive behavior,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2019,An Act regulating the use of credit reports by employers,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2020,An Act relative to transparency in the workplace,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2023,An Act ensuring domestic violence victims' protections for all employees in the Commonwealth,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2026,An Act relative to nondiscrimination training in the workplace,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2056,An Act prohibiting employment discrimination based on the legal use of cannabis,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2303,An Act including Krabbe Disease in newborn screening,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2338,An Act relative to newborn screenings for congenital cytomegalovirus,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2377,An Act to permit the wholesale importation of prescription drugs into the Commonwealth,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,3101,An Act designating the last day of February as rare disease day in the Commonwealth,Support,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,3211,An Act designating May 6 as Moyamoya Disease Awareness Day,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,3787,An Act relative to pharmacy benefit managers reimbursements to pharmacies in the Commonwealth,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,3843,An Act relative to dignity at work,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,4248,An Act enhancing the market review process,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,4253,An Act enhancing the market review process,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,4262,An Act enhancing the market review process,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Docket,4501,"A special and final report of the Health Equity Task Force (under Section 2 of Chapter 93 of the Acts of 2020, and most recently revived and continued by Section 67 of Chapter 29 of the Acts of 2021) entitled ""A Blueprint for Health Equity""",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,4,"An Act making appropriations for the fiscal year 2023 for the maintenance of the departments, boards, commissions, institutions, and certain activities of the commonwealth, for interest, sinking fund, and serial bond requirements, and for certain permanent improvements",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,46,An Act establishing the Massachusetts Information Privacy Act,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,50,An Act relative to data security and privacy,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,140,An Act to increase the safety of individuals with disabilities relying on life-support equipment,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,220,An Act to protect personal biometric data,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,584,An Act concerning the use of animals in product testing,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,613,An Act protecting research animals,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,627,An Act relative to promoting healthcare access and affordability for patients,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,644,An Act relative to consumer deductibles,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,650,"An Act relating to patient cost, benefit and coverage information, choice, and price transparency",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,654,An Act relative to out-of-pocket expenses for prescription drug coverage,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,664,An Act ensuring access to medications,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,678,An Act relative to telehealth and digital equity for patients,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,684,An Act to reduce the cost of pharmacy benefits,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,728,An Act relative to pharmaceutical gag clauses,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,736,An Act relative to promoting comprehensive transparency in the pharmaceutical industry,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,756,An Act relative to step therapy and patient safety,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,758,An Act to ensure effective health care as a right,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,762,An Act to ensure equitable health coverage for children,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,766,An Act establishing medicare for all in Massachusetts,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,771,"An Act relative to pharmaceutical access, costs and transparency",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,785,An Act to improve the accessibility and affordability of pharmaceutical drugs of public health concern,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,786,An Act to bring down the cost of prescription drugs,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,787,An Act establishing a public health option,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,790,An Act to define modest meals and refreshments in prescriber education settings,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,804,An Act to promote transparency and prevent price gouging of pharmaceutical drug prices,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,865,An Act to prevent displacement,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1154,An Act regulating the use of credit reports by employers,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1171,"An Act to require policies and training to prevent unlawful harassment, including sexual harassment",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1173,An Act relative to employment protections for victims of abusive behavior,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1178,An Act relative to nondiscrimination,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1183,An Act regulating the use of credit reports by employers,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1185,An Act to establish the Dignity At Work Act (DAWA),Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1190,An Act relative to workplace safety and disclosure of violations,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1196,An Act relative to transparency in the workplace,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1200,"An Act addressing workplace bullying, mobbing, and harassment, without regard to protected class status while promoting healthy workplaces",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1206,An Act enhancing worker protection,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1208,An Act relative to wage transparency,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1223,An Act ensuring fair worker representation on corporate boards of directors,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1228,An Act relative to fair hiring practices,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1230,An Act expanding whistleblower protections,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1432,An Act relative to LSDs (Lysosomal Storage Disorders) in infants,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1465,An Act to reduce healthcare costs by promoting non-biased prescriber education,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1471,An Act relative to newborn screenings for congenital cytomegalovirus,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1480,An Act to prevent undue influence on prescriber behavior,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1481,An Act to restore integrity in the marketing of pharmaceutical products and medical devices,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1533,An Act establishing a special commission to study and recommend improvements in the delivery of prescription drug benefits for the citizens of the Commonwealth,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,1915,An Act to eliminate the tax deduction for direct-to-consumer pharmaceutical marketing,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,2058,An Act designating the last day of February as rare disease day in the Commonwealth,Support,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Bill,2074,An Act designating May 6 as Moyamoya Disease Awareness Day,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Docket,2594,HPC COVID-19 Impact on MA Health Care System Interim Report,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Docket,2637,DPH Correctional Facility Inspection Report - Souza-Baranowski CC,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Docket,2673,An Act to provide for a medical exemption for manufacturer coupons,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,Senate Docket,2731,Health Equity Task Force Final Report,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,4700,"An Act making appropriations for the fiscal year 2023 for the maintenance of the departments, boards, commissions, institutions, and certain activities of the commonwealth, for interest, sinking fund, and serial bond requirements, and for certain permanent improvements",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,4701,"An Act making appropriations for the fiscal year 2023 for the maintenance of the departments, boards, commissions, institutions, and certain activities of the commonwealth, for interest, sinking fund, and serial bond requirements, and for certain permanent improvements",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",House Bill,877,"Resolve to review, consider, and evaluate, and to establish a suitable body and/or special commission to consider climate change economic consequences",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",House Bill,954,An Act to assure the attainment of greenhouse gas emissions goals in the alternative portfolio standard,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",House Bill,980,"An Act promoting sustainable development and infrastructure, economic security, and fiscal responsibility with respect to climate risks",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",House Bill,2167,An Act to reduce greenhouse gas emissions by permitting local option all-electric buildings and homes ordinances,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",House Bill,3288,"An Act transitioning Massachusetts to clean electricity, heating and transportation",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",House Bill,3298,An Act relative to the future of heat in the Commonwealth,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",House Bill,3850,An Act establishing a pathway to net zero buildings,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",Senate Bill,13,An Act creating a next-generation roadmap for Massachusetts climate policy,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",Senate Bill,501,"An Act promoting sustainable development and infrastructure, economic security, and fiscal responsibility with respect to climate risks",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",Senate Bill,606,An Act to ensure consistency in climate adaptation management planning,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",Senate Bill,607,An Act relative to stronger emissions limits,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",Senate Bill,1333,An Act to reduce greenhouse gas emissions by permitting local option all-electric buildings and homes ordinances,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",Senate Bill,1447,An Act to improve outdoor and indoor air quality for communities burdened by transportation pollution,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",Senate Bill,2136,"An Act transitioning Massachusetts to clean electricity, heating, and transportation",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",Senate Bill,2148,An Act relative to the future of heat in the Commonwealth,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",Senate Bill,2225,An Act to prevent the worst effects of our climate emergency by providing policy pathways to achieve net zero emissions,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,"Northeast Hearth, Patio & Barbecue Association",Senate Bill,2229,An Act creating a 21st Century clean energy economy,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Mohegan Tribal Gaming Authority,House Bill,36,An Act establishing an online lottery,Neutral,$0.00,N/A
